@relation 'Road Accident Data, nominal'
@attribute 'Accident Year'{'Year 2000', 'Year 2001', 'Year 2002', 'Year 2003', 'Year 2004', 'Year 2005'}
@attribute 'Road Class' {Motorway, 'A(M)', A, B, C, Unclassified}
@attribute 'Speed Limit' {20, 30, 40, 50, 60, 70}
@attribute 'Junction Detail' {'Not a junction', Roundabout, 'Mini-roundabout', 'T,Y or staggered road', 'Slip road', Crossroads, 'Multiple juncion', 'Private drive or entrance', Other}
@attribute 'Day/Night?' {Day, Night}
@attribute 'Light Condition' {'lights lit', 'lights unlit', 'no lighting', 'lighting unknown'}
@attribute 'Weather Condition' {Fine, Raining, Snowing, 'Fog or mist', Other, Unknown}
@attribute 'High winds?' {Yes, No, Unknown}
@attribute 'Casualty Class' {'Driver or rider', Passenger, Pedestrian}
@attribute 'Sex of Casualty' {Male, Female}
@attribute 'Age of Casualty' real
@attribute 'Severity of Casualty' {Fatal, Serious}

@data
'Year 2000',B,30,'Not a junction',Night,'lights lit',Raining,No,Pedestrian,Female,76,Serious
'Year 2000',A,30,'T,Y or staggered road',Night,'lights lit',Raining,No,'Driver or rider',Male,29,Serious
'Year 2000',A,30,'T,Y or staggered road',Night,'lights lit',Raining,No,'Driver or rider',Male,19,Serious
'Year 2000',A,30,'T,Y or staggered road',Night,'lights lit',Raining,No,Passenger,Male,31,Serious
'Year 2000',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,36,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,43,Fatal
'Year 2000',A,30,Crossroads,Day,'lights lit',Fine,No,Pedestrian,Female,78,Serious
'Year 2000',Unclassified,60,'Private drive or entrance',Day,'no lighting',Fine,No,'Driver or rider',Male,76,Serious
'Year 2000',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Male,41.0,Fatal
'Year 2000',A,30,'Not a junction',Night,'lights lit',Fine,No,Pedestrian,Male,48,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Raining,No,'Driver or rider',Male,54,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Raining,No,Passenger,Female,15,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Raining,No,Passenger,Female,15,Serious
'Year 2000',Unclassified,30,'Private drive or entrance',Day,'lights lit',Fine,No,Pedestrian,Male,26,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,51,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,84,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Raining,Yes,'Driver or rider',Male,27,Serious
'Year 2000',C,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,99,Serious
'Year 2000',C,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Male,26,Serious
'Year 2000',C,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Male,25,Serious
'Year 2000',C,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Male,31,Serious
'Year 2000',C,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Male,35,Serious
'Year 2000',A,30,'T,Y or staggered road',Day,'no lighting',Raining,No,'Driver or rider',Male,24,Serious
'Year 2000',A,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,6,Serious
'Year 2000',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Female,3,Fatal
'Year 2000',Unclassified,30,Crossroads,Day,'lights lit',Fine,No,'Driver or rider',Female,25,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,48,Fatal
'Year 2000',A,30,Crossroads,Day,'lights lit',Fine,No,'Driver or rider',Male,49,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,21,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,21,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,21,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,27,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Male,31,Fatal
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,Yes,'Driver or rider',Female,18,Fatal
'Year 2000',A,60,'Not a junction',Day,'no lighting',Other,Unknown,'Driver or rider',Male,48,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Other,Unknown,Passenger,Male,76,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Raining,Yes,'Driver or rider',Male,20.0,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,Pedestrian,Male,74,Fatal
'Year 2000',A,60,'Not a junction',Night,'no lighting',Other,Unknown,'Driver or rider',Male,18,Serious
'Year 2000',A,30,Crossroads,Night,'lights lit',Raining,No,'Driver or rider',Male,22.0,Serious
'Year 2000',A,60,'T,Y or staggered road',Night,'no lighting',Fine,No,'Driver or rider',Male,31,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Raining,No,'Driver or rider',Female,30,Serious
'Year 2000',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Pedestrian,Male,16,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,55,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Snowing,No,Passenger,Male,52.0,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Raining,No,'Driver or rider',Male,53,Fatal
'Year 2000',A,60,'T,Y or staggered road',Day,'lights lit',Snowing,No,Passenger,Female,30,Serious
'Year 2000',A,60,Other,Day,'lights lit',Snowing,No,'Driver or rider',Female,29,Serious
'Year 2000',Unclassified,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,24,Serious
'Year 2000',Unclassified,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Male,25,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,Yes,'Driver or rider',Male,30,Serious
'Year 2000',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,61.0,Serious
'Year 2000',B,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,33,Serious
'Year 2000',B,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Female,34,Serious
'Year 2000',B,30,'Not a junction',Night,'lights lit',Fine,No,'Driver or rider',Male,23,Serious
'Year 2000',B,60,'Not a junction',Day,'no lighting',Fine,No,Pedestrian,Male,44,Serious
'Year 2000',A,30,'Not a junction',Night,'lights lit',Other,Unknown,Pedestrian,Male,17,Serious
'Year 2000',A,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Male,36,Fatal
'Year 2000',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Female,80,Fatal
'Year 2000',A,60,Other,Day,'no lighting',Raining,No,'Driver or rider',Female,47,Serious
'Year 2000',A,60,'Slip road',Night,'no lighting',Fine,No,'Driver or rider',Male,21,Fatal
'Year 2000',Unclassified,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,17,Serious
'Year 2000',A,60,'T,Y or staggered road',Night,'no lighting',Fine,No,'Driver or rider',Female,29,Fatal
'Year 2000',B,60,Other,Day,'no lighting',Fine,No,'Driver or rider',Male,38.0,Serious
'Year 2000',A,60,'T,Y or staggered road',Night,'no lighting',Raining,No,Passenger,Female,63,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Male,49,Serious
'Year 2000',B,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Female,28,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Snowing,No,Passenger,Female,75,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Snowing,Yes,'Driver or rider',Male,50,Serious
'Year 2000',A,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Male,38.0,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,37.0,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Snowing,No,'Driver or rider',Male,24,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,67,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,39,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,31,Serious
'Year 2000',A,40,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,16,Fatal
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Female,57,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Other,Unknown,'Driver or rider',Male,17,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Other,Unknown,Passenger,Male,20.0,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,47,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,20.0,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Male,20.0,Serious
'Year 2000',A,30,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,46,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,25,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Male,19,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Male,19,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Male,18,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,26,Serious
'Year 2000',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Male,50,Serious
'Year 2000',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Female,31,Fatal
'Year 2000',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,Passenger,Female,30,Serious
'Year 2000',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,Passenger,Female,39,Serious
'Year 2000',A,40,Other,Day,'lights lit',Fine,No,Passenger,Female,59,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,50,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,42,Fatal
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Male,12,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Male,42,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Male,14,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,33,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Female,21,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Female,42,Serious
'Year 2000',Unclassified,30,'Not a junction',Night,'lights lit',Fine,No,Pedestrian,Male,58,Fatal
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,42,Serious
