@relation 'Road Accident Data, nominal'
@attribute 'Accident Year'{'Year 2000', 'Year 2001', 'Year 2002', 'Year 2003', 'Year 2004', 'Year 2005'}
@attribute 'Road Class' {Motorway, 'A(M)', A, B, C, Unclassified}
@attribute 'Speed Limit' {20, 30, 40, 50, 60, 70}
@attribute 'Junction Detail' {'Not a junction', Roundabout, 'Mini-roundabout', 'T,Y or staggered road', 'Slip road', Crossroads, 'Multiple juncion', 'Private drive or entrance', Other}
@attribute 'Day/Night?' {Day, Night}
@attribute 'Light Condition' {'lights lit', 'lights unlit', 'no lighting', 'lighting unknown'}
@attribute 'Weather Condition' {Fine, Raining, Snowing, 'Fog or mist', Other, Unknown}
@attribute 'High winds?' {Yes, No, Unknown}
@attribute 'Casualty Class' {'Driver or rider', Passenger, Pedestrian}
@attribute 'Sex of Casualty' {Male, Female}
@attribute 'Age of Casualty' real
@attribute 'Severity of Casualty' {Fatal, Serious}

@data
'Year 2002',C,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,39,Serious
'Year 2002',C,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Pedestrian,Male,4,Serious
'Year 2002',A,50,'Not a junction',Night,'no lighting',Raining,No,'Driver or rider',Male,24,Serious
'Year 2002',A,70,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,58,Serious
'Year 2002',A,70,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,47,Fatal
'Year 2002',A,70,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,39,Fatal
'Year 2002',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,30,Serious
'Year 2002',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,45,Serious
'Year 2002',A,60,'Not a junction',Day,'no lighting',Raining,Yes,'Driver or rider',Male,36,Serious
'Year 2002',C,60,Crossroads,Day,'lights lit',Fine,No,'Driver or rider',Male,49,Serious
'Year 2002',A,60,'Private drive or entrance',Day,'no lighting',Fine,No,'Driver or rider',Male,39,Serious
'Year 2002',A,70,'Private drive or entrance',Day,'no lighting',Raining,No,'Driver or rider',Female,43,Fatal
'Year 2002',B,60,'Not a junction',Day,'no lighting',Raining,No,Passenger,Male,66,Serious
'Year 2002',B,60,'Not a junction',Day,'no lighting',Raining,No,Passenger,Female,53,Serious
'Year 2002',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Male,43,Fatal
'Year 2002',B,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Female,55,Serious
'Year 2002',Unclassified,30,'Not a junction',Night,'lights lit',Fine,No,Pedestrian,Male,18,Serious
'Year 2002',A,40,'Not a junction',Night,'no lighting',Fine,No,Pedestrian,Male,27,Serious
'Year 2002',B,60,'Private drive or entrance',Day,'no lighting',Fine,No,Passenger,Male,11,Serious
'Year 2002',B,60,'Private drive or entrance',Day,'no lighting',Fine,No,Passenger,Female,10,Serious
'Year 2002',B,60,'Private drive or entrance',Day,'no lighting',Fine,No,'Driver or rider',Male,26,Serious
'Year 2002',A,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Pedestrian,Male,44,Serious
'Year 2002',A,30,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Female,79,Serious
'Year 2002',Unclassified,30,Roundabout,Day,'lights lit',Fine,No,'Driver or rider',Male,19,Serious
'Year 2002',C,60,'Private drive or entrance',Day,'no lighting',Fine,No,Pedestrian,Female,6,Serious
'Year 2002',C,60,'Private drive or entrance',Day,'no lighting',Fine,No,Pedestrian,Male,8,Serious
'Year 2002',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,64,Fatal
'Year 2002',C,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,36,Serious
'Year 2002',Unclassified,30,'T,Y or staggered road',Night,'lights lit',Fine,No,Pedestrian,Female,16,Serious
'Year 2002',Unclassified,30,Crossroads,Day,'lights lit',Fine,No,Passenger,Female,39,Serious
'Year 2002',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Male,31,Serious
'Year 2002',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Male,45,Serious
'Year 2002',Unclassified,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,12,Serious
'Year 2002',C,30,'Not a junction',Night,'lights lit',Fine,No,'Driver or rider',Male,11,Serious
'Year 2002',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,71,Serious
'Year 2002',Motorway,70,'Slip road',Day,'no lighting',Fine,No,'Driver or rider',Female,67,Fatal
'Year 2002',Motorway,70,'Slip road',Day,'no lighting',Fine,No,Passenger,Male,76,Fatal
'Year 2002',B,60,'Private drive or entrance',Day,'no lighting',Fine,No,Passenger,Female,71,Serious
'Year 2002',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,31,Fatal
'Year 2002',A,30,'T,Y or staggered road',Night,'lights lit',Fine,No,'Driver or rider',Female,56,Serious
'Year 2002',A,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Pedestrian,Male,8,Serious
'Year 2002',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Male,32,Serious
'Year 2002',A,30,'Not a junction',Night,'lights lit',Fine,No,'Driver or rider',Male,19,Serious
'Year 2002',A,30,'Not a junction',Night,'lights lit',Fine,No,Passenger,Male,30,Serious
'Year 2002',C,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Female,14,Serious
'Year 2002',A,30,'Not a junction',Night,'lights lit',Fine,No,Passenger,Female,19,Serious
'Year 2002',A,30,Crossroads,Day,'lights lit',Fine,No,Pedestrian,Male,79,Serious
'Year 2002',A,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Male,45,Serious
'Year 2002',B,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Male,36,Serious
'Year 2002',Unclassified,60,'Not a junction',Day,'no lighting',Other,Unknown,'Driver or rider',Female,20.0,Fatal
'Year 2002',Unclassified,60,'Not a junction',Day,'no lighting',Other,Unknown,'Driver or rider',Female,31,Serious
'Year 2002',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Male,44,Serious
'Year 2002',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Male,48,Serious
'Year 2002',Unclassified,30,'T,Y or staggered road',Night,'lights lit',Fine,No,'Driver or rider',Male,35,Serious
'Year 2002',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Pedestrian,Male,11,Serious
'Year 2002',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,Passenger,Female,53,Serious
'Year 2002',B,30,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,62,Serious
'Year 2002',A,50,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,41.0,Serious
'Year 2002',C,30,Crossroads,Day,'lights lit',Fine,No,Pedestrian,Male,13,Serious
'Year 2002',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,27,Serious
'Year 2002',C,30,'T,Y or staggered road',Day,'lights lit',Raining,No,'Driver or rider',Female,19,Serious
'Year 2002',A,40,'T,Y or staggered road',Day,'lights lit',Fine,No,Pedestrian,Female,14,Serious
'Year 2002',A,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Passenger,Female,40,Serious
'Year 2002',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,23,Serious
'Year 2002',Unclassified,30,Crossroads,Day,'lights lit',Fine,No,'Driver or rider',Male,82,Serious
'Year 2002',Unclassified,30,Crossroads,Day,'lights lit',Fine,No,Passenger,Female,68,Serious
'Year 2002',A,40,'Not a junction',Day,'lights lit',Raining,No,'Driver or rider',Male,25,Serious
'Year 2002',A,40,'Not a junction',Day,'lights lit',Raining,No,Passenger,Female,22.0,Serious
'Year 2002',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,70,Serious
'Year 2002',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,66,Serious
'Year 2002',A,30,Roundabout,Night,'lights lit',Fine,No,Pedestrian,Male,5,Serious
'Year 2002',A,40,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,40,Serious
'Year 2002',C,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,50,Serious
'Year 2002',A,60,'T,Y or staggered road',Day,'no lighting',Raining,Yes,'Driver or rider',Male,17,Serious
'Year 2002',A,60,'T,Y or staggered road',Day,'no lighting',Raining,Yes,'Driver or rider',Female,33,Serious
'Year 2002',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,51,Serious
'Year 2002',C,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,83,Serious
'Year 2002',Unclassified,60,'Not a junction',Night,'lights lit',Raining,No,'Driver or rider',Male,19,Serious
'Year 2002',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Passenger,Female,74,Serious
'Year 2002',C,60,'Private drive or entrance',Night,'no lighting',Fine,No,Passenger,Male,19,Serious
'Year 2002',Unclassified,30,'Multiple juncion',Day,'no lighting',Raining,No,Pedestrian,Male,52.0,Serious
'Year 2002',Unclassified,30,Crossroads,Day,'lights lit',Fine,No,Passenger,Female,44,Serious
'Year 2002',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,63,Serious
'Year 2002',C,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Male,44,Serious
'Year 2002',C,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Passenger,Female,74,Serious
'Year 2002',A,60,'Not a junction',Night,'no lighting',Fine,No,Pedestrian,Female,42,Serious
'Year 2002',C,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Pedestrian,Female,11,Serious
'Year 2002',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,27,Serious
'Year 2002',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,41.0,Serious
'Year 2002',A,60,'Private drive or entrance',Day,'no lighting',Raining,No,'Driver or rider',Male,34,Serious
'Year 2002',Unclassified,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,31,Serious
'Year 2002',A,50,'Not a junction',Night,'lights lit',Raining,No,Passenger,Female,46,Serious
'Year 2002',A,50,'Not a junction',Night,'lights lit',Raining,No,Passenger,Male,6,Serious
'Year 2002',A,60,'Not a junction',Night,'no lighting',Raining,No,Passenger,Male,19,Serious
'Year 2002',C,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Male,26,Serious
'Year 2002',C,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Male,27,Serious
'Year 2002',A,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Male,54,Serious
'Year 2002',Unclassified,60,'Not a junction',Night,'no lighting',Raining,No,'Driver or rider',Male,37.0,Serious
'Year 2002',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,28,Serious
'Year 2002',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,29,Serious
'Year 2002',Unclassified,30,Crossroads,Night,'lights lit',Fine,No,'Driver or rider',Female,22.0,Serious
'Year 2002',B,40,'T,Y or staggered road',Day,'lights lit',Raining,No,'Driver or rider',Male,64,Serious
'Year 2002',B,40,'T,Y or staggered road',Day,'lights lit',Raining,No,Passenger,Female,61.0,Serious
'Year 2002',A,70,'T,Y or staggered road',Day,'no lighting',Raining,No,Passenger,Female,17,Serious
'Year 2002',C,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,46,Serious
'Year 2002',B,60,'T,Y or staggered road',Night,'no lighting',Fine,No,'Driver or rider',Female,50,Serious
'Year 2002',A,50,'Not a junction',Night,'no lighting',Raining,No,'Driver or rider',Male,34,Serious
'Year 2002',C,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,19,Serious
'Year 2002',C,30,Crossroads,Night,'lights lit',Fine,No,Passenger,Female,61.0,Serious
'Year 2002',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,Yes,Pedestrian,Male,29,Serious
'Year 2002',A,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Male,18,Serious
'Year 2002',Unclassified,30,'T,Y or staggered road',Night,'lights lit',Fine,No,Pedestrian,Male,24,Serious
'Year 2002',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,33,Serious
'Year 2002',A,60,'T,Y or staggered road',Night,'no lighting',Fine,No,'Driver or rider',Male,79,Fatal
'Year 2002',A,70,'T,Y or staggered road',Night,'no lighting',Fine,No,'Driver or rider',Male,37.0,Serious
'Year 2002',A,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Female,16,Serious
'Year 2002',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,42,Serious
'Year 2002',Unclassified,30,'T,Y or staggered road',Night,'lights lit',Fine,No,Pedestrian,Male,10,Serious
'Year 2002',A,40,'T,Y or staggered road',Night,'lights lit',Fine,No,'Driver or rider',Female,54,Serious
'Year 2002',B,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Male,55,Serious
'Year 2002',B,60,'Not a junction',Day,'no lighting',Raining,No,Passenger,Male,18,Serious
'Year 2002',B,60,'Not a junction',Day,'no lighting',Raining,No,Passenger,Female,56,Serious
'Year 2002',B,60,'T,Y or staggered road',Night,'no lighting',Fine,No,'Driver or rider',Male,33,Fatal
'Year 2002',Unclassified,30,Crossroads,Day,'lights lit',Fine,No,Pedestrian,Male,12,Serious
'Year 2002',A,30,'T,Y or staggered road',Night,'lights lit',Fine,No,Passenger,Male,18,Serious
'Year 2002',A,30,'T,Y or staggered road',Night,'lights lit',Fine,No,Passenger,Male,21,Serious
'Year 2002',A,60,'Not a junction',Night,'no lighting',Raining,No,'Driver or rider',Male,23,Serious
'Year 2002',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,17,Serious
'Year 2002',Motorway,70,'Slip road',Night,'no lighting',Fine,No,Pedestrian,Male,14,Serious
'Year 2002',B,60,'Not a junction',Night,'no lighting',Raining,No,'Driver or rider',Male,33,Serious
'Year 2002',Unclassified,20,'Not a junction',Night,'no lighting',Raining,No,'Driver or rider',Male,34,Serious
'Year 2002',Unclassified,20,'Not a junction',Night,'no lighting',Raining,No,'Driver or rider',Male,22.0,Serious
'Year 2002',Unclassified,30,'Not a junction',Night,'lights lit',Raining,No,Pedestrian,Male,18,Serious
'Year 2002',B,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Pedestrian,Female,80,Serious
'Year 2002',C,30,'Not a junction',Night,'lights lit',Fine,No,'Driver or rider',Male,21,Serious
'Year 2002',C,30,'Not a junction',Night,'lights lit',Fine,No,'Driver or rider',Male,11,Serious
'Year 2002',A,30,'Not a junction',Night,'lights lit',Fine,No,'Driver or rider',Male,22.0,Serious
'Year 2002',A,60,'Not a junction',Day,'no lighting','Fog or mist',No,'Driver or rider',Male,78,Serious
'Year 2002',A,60,'Not a junction',Day,'no lighting','Fog or mist',No,Passenger,Female,73,Serious
'Year 2002',A,60,'Not a junction',Day,'no lighting','Fog or mist',No,'Driver or rider',Male,26,Serious
'Year 2002',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Passenger,Female,70,Serious
'Year 2002',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Pedestrian,Male,73,Serious
'Year 2002',B,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,56,Serious
'Year 2002',B,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Female,16,Serious
'Year 2002',B,70,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,37.0,Serious
'Year 2002',A,60,Other,Day,'no lighting',Fine,No,'Driver or rider',Male,80,Serious
'Year 2002',A,70,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,29,Serious
'Year 2002',A,70,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,23,Serious
'Year 2002',Unclassified,40,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Male,25,Serious
'Year 2002',Unclassified,40,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Male,47,Serious
'Year 2002',Unclassified,30,Other,Night,'lights lit',Raining,No,Pedestrian,Male,27,Serious
'Year 2002',A,60,Crossroads,Day,'no lighting',Fine,No,'Driver or rider',Male,36,Serious
'Year 2002',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Pedestrian,Male,9.0,Serious
'Year 2002',Unclassified,60,'Not a junction',Night,'lights lit',Fine,No,Passenger,Female,20.0,Serious
'Year 2002',Unclassified,30,'Not a junction',Night,'lights lit',Raining,No,'Driver or rider',Male,20.0,Serious
'Year 2002',Unclassified,30,'Not a junction',Night,'lights lit',Raining,No,Passenger,Male,19,Serious
'Year 2002',A,60,Crossroads,Night,'lights lit',Raining,No,'Driver or rider',Male,44,Serious
'Year 2002',A,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Male,21,Serious
'Year 2002',C,60,'Not a junction',Night,'no lighting',Raining,No,Pedestrian,Male,12,Serious
'Year 2002',Unclassified,30,Other,Day,'lights lit',Fine,No,Pedestrian,Female,8,Serious
'Year 2002',A,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Female,64,Serious
'Year 2002',A,30,'Not a junction',Night,'lights lit',Fine,No,'Driver or rider',Female,18,Serious
'Year 2002',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Female,31,Serious
'Year 2002','A(M)',70,'Slip road',Night,'no lighting',Raining,No,'Driver or rider',Male,23,Serious
'Year 2002','A(M)',70,'Slip road',Night,'no lighting',Raining,No,'Driver or rider',Male,21,Serious
'Year 2002',A,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Female,65,Fatal
'Year 2002',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,23,Fatal
'Year 2002',Unclassified,30,Other,Day,'lights lit',Fine,No,'Driver or rider',Male,74,Serious
'Year 2002',B,50,Roundabout,Night,'lights lit',Fine,No,'Driver or rider',Male,28,Serious
'Year 2002',Unclassified,30,'T,Y or staggered road',Night,'lights lit',Fine,No,Pedestrian,Male,11,Serious
'Year 2002',B,30,'T,Y or staggered road',Night,'lights lit',Fine,No,Pedestrian,Male,22.0,Serious
'Year 2002',B,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,62,Fatal
'Year 2002',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Passenger,Female,85,Serious
'Year 2002',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,17,Serious
'Year 2002',A,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Female,60,Fatal
'Year 2002',A,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Male,60,Serious
'Year 2002',A,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Female,30,Serious
'Year 2002',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,27,Serious
'Year 2002',A,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Male,3,Serious
'Year 2002',Unclassified,30,'Not a junction',Day,'lights lit',Raining,No,Pedestrian,Male,13,Serious
'Year 2002',Unclassified,30,'Not a junction',Day,'lights lit',Raining,No,Pedestrian,Male,75,Serious
'Year 2002',A,70,'Slip road',Night,'no lighting',Raining,No,Passenger,Female,16,Serious
'Year 2002',A,60,'Not a junction',Day,'no lighting',Raining,No,Passenger,Male,18,Serious
'Year 2002',A,60,'Not a junction',Day,'no lighting',Raining,No,Passenger,Female,16,Serious
'Year 2002',A,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Male,56,Fatal
'Year 2002',A,60,'Not a junction',Day,'no lighting',Raining,No,Passenger,Male,18,Serious
'Year 2002',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Male,18,Serious
'Year 2002',A,30,'Multiple juncion',Day,'lights lit',Raining,Yes,'Driver or rider',Male,21,Serious
'Year 2002',B,60,'Not a junction',Day,'lights lit',Fine,Yes,'Driver or rider',Male,43,Fatal
'Year 2002',B,60,'Not a junction',Day,'lights lit',Fine,Yes,Passenger,Male,16,Serious
'Year 2002',B,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,4,Serious
'Year 2002',B,40,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,44,Serious
'Year 2002',Unclassified,30,Roundabout,Day,'lights lit',Fine,No,Pedestrian,Male,14,Serious
'Year 2002',B,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,11,Serious
'Year 2002',A,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Female,49,Serious
'Year 2002',Unclassified,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,44,Serious
'Year 2002',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,37.0,Serious
'Year 2002',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,33,Fatal
'Year 2002',B,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Male,38.0,Serious
'Year 2002',B,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Male,35,Serious
'Year 2002',A,50,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,20.0,Serious
'Year 2002',A,70,'Slip road',Night,'no lighting',Fine,No,Pedestrian,Male,15,Fatal
'Year 2002',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,22.0,Serious
'Year 2002',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Male,58,Serious
'Year 2002',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Male,10,Serious
'Year 2002',Motorway,70,'Not a junction',Day,'no lighting',Fine,Yes,'Driver or rider',Male,26,Serious
'Year 2002',A,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,14,Serious
'Year 2002',A,50,'Mini-roundabout',Day,'lights lit',Fine,No,'Driver or rider',Male,30,Serious
'Year 2002',A,60,'Not a junction',Day,'no lighting',Raining,No,Passenger,Female,42,Serious
'Year 2002',A,60,'Not a junction',Day,'no lighting',Raining,No,Passenger,Female,23,Serious
'Year 2002',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Pedestrian,Male,11,Serious
'Year 2002',A,30,Roundabout,Night,'lights lit',Fine,No,Passenger,Female,15,Serious
'Year 2002',Unclassified,50,'T,Y or staggered road',Night,'lights lit',Fine,No,'Driver or rider',Male,20.0,Serious
'Year 2002',A,60,'Not a junction',Day,'lights lit',Raining,No,'Driver or rider',Male,54,Serious
'Year 2002',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,56,Serious
'Year 2002',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,44,Serious
'Year 2002',Unclassified,30,'Not a junction',Day,'lighting unknown',Fine,No,Pedestrian,Female,33,Serious
'Year 2002',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,19,Serious
'Year 2002',Motorway,70,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,45,Serious
'Year 2002',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,27,Fatal
'Year 2002',B,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Male,25,Serious
'Year 2002',A,40,'Not a junction',Day,'lighting unknown',Fine,No,'Driver or rider',Male,46,Serious
'Year 2002',A,40,'Not a junction',Day,'lighting unknown',Fine,No,Passenger,Male,56,Serious
'Year 2002',A,40,'Not a junction',Day,'lighting unknown',Fine,No,'Driver or rider',Male,38.0,Serious
'Year 2002',A,40,'Not a junction',Day,'lighting unknown',Fine,No,Passenger,Female,35,Serious
'Year 2002',A,40,'Not a junction',Day,'lighting unknown',Fine,No,Passenger,Male,8,Serious
'Year 2002',A,30,Other,Day,'lights lit',Fine,No,Passenger,Female,43,Serious
'Year 2002',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Male,20.0,Serious
'Year 2002',Unclassified,30,Crossroads,Night,'lights lit',Fine,No,Passenger,Female,16,Serious
'Year 2002',Unclassified,30,Crossroads,Night,'lights lit',Fine,No,'Driver or rider',Male,17,Serious
'Year 2002',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Pedestrian,Male,65,Serious
'Year 2002',A,50,'T,Y or staggered road',Night,'lighting unknown',Fine,No,'Driver or rider',Male,30,Serious
'Year 2002',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,73,Fatal
'Year 2002',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Female,18,Serious
'Year 2002',A,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Male,30,Serious
'Year 2002',A,60,'Not a junction',Day,'no lighting',Raining,No,Passenger,Male,30,Serious
'Year 2002',A,60,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,35,Serious
'Year 2002',A,60,'Not a junction',Day,'lights lit',Fine,No,Passenger,Male,31,Serious
'Year 2002',A,60,'Not a junction',Day,'lights lit',Fine,No,Passenger,Female,26,Serious
'Year 2002',B,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Male,31,Serious
'Year 2002',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,31,Serious
'Year 2002',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Passenger,Female,67,Serious
'Year 2002',A,30,Other,Night,'lights unlit',Fine,Yes,'Driver or rider',Female,20.0,Serious
'Year 2002',B,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,18,Serious
'Year 2002',C,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,17,Serious
'Year 2002',C,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Male,14,Serious
'Year 2002',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Male,11,Serious
'Year 2002',C,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Male,17,Serious
'Year 2002',B,60,Roundabout,Day,'lights lit',Fine,No,'Driver or rider',Male,35,Serious
'Year 2002',A,40,'Not a junction',Day,'no lighting',Fine,No,Pedestrian,Male,16,Serious
'Year 2002',A,60,Other,Day,'no lighting',Unknown,Unknown,'Driver or rider',Male,30,Serious
'Year 2002',A,30,'Mini-roundabout',Day,'lights lit',Fine,No,'Driver or rider',Male,21,Serious
'Year 2002',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,44,Serious
'Year 2002',Motorway,70,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,23,Serious
'Year 2002',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,20.0,Serious
'Year 2002',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,19,Serious
'Year 2002',A,30,'Not a junction',Day,'lighting unknown',Fine,No,Pedestrian,Male,45,Serious
'Year 2002',A,40,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Female,56,Fatal
'Year 2002',B,50,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,12,Serious
'Year 2002',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,22.0,Serious
'Year 2002',C,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Male,11,Serious
'Year 2002',Unclassified,30,Other,Day,'lights lit',Fine,No,Pedestrian,Female,10,Serious
'Year 2002',C,60,'Not a junction',Day,'no lighting',Fine,No,Pedestrian,Male,72,Serious
